CustID,ASP,Recency,Frequency,Monetary
MU3540,395,5,4,4
MU10181,395,3,3,4
MU2177,394.99668215,1,1,1
MU1937,394.94949495,3,2,2
MU10749,394.66666667,2,4,5
MU2718,393.76404494,1,1,1
MU3069,393.67088608,2,2,2
MU1858,393,4,3,4
MU1078,392.94478528,5,4,4
MU2906,392.55319149,5,4,3
MU10720,392.38461538,2,3,2
MU2969,392.22925003,1,1,1
MU1692,392.03559186,2,1,1
MU10494,391.2,3,4,5
MU1874,391.17924528,4,2,2
MU3252,390.63063063,1,2,1
MU3157,389.90825688,4,2,2
MU3551,389.6875,4,2,3
MU10687,389.43396226,3,4,4
MU10754,389.23076923,2,4,5
MU1433,388.88888889,2,3,4
MU10373,388.86597938,1,2,3
MU3150,388.29268293,5,3,3
MU333,388.27225131,1,2,3
MU10956,387.90697674,2,4,4
MU2816,387.66666667,4,3,4
MU1449,387.38636364,4,2,2
MU2903,387.27407407,1,1,1
MU2188,387.27272727,5,4,4
MU1751,387.25892424,1,1,1
MU10847,387.01754386,1,3,3
MU10777,386.47887324,2,3,4
MU10659,386.43478261,2,3,3
MU10588,386.15384615,3,3,4
MU2382,386.09986505,1,1,1
MU10323,385.6626506,3,2,3
MU2259,385.65217391,4,3,4
MU11200,385.625,1,4,5
MU2941,385.33333333,5,4,5
MU10119,385.14285714,3,4,4
MU2234,385,5,4,5
MU2410,385,5,4,5
MU2497,385,5,4,5
MU2752,385,5,4,5
MU10012,384.89795918,4,4,4
MU10658,384.70588235,3,4,4
MU1152,384.69656992,3,1,1
MU3458,384.57564576,2,1,1
MU2715,384.17604913,2,1,1
MU2915,383.80952381,4,2,3
MU1652,383.67979131,3,1,1
MU3162,383.26615705,1,1,1
MU10671,383.11111111,1,3,4
MU10399,382.85714286,3,4,5
MU10125,381.39130435,3,2,3
MU1919,381.15853659,2,1,1
MU2546,381.07835531,1,1,1
MU2939,380.98039216,2,2,2
MU10098,380.88235294,3,2,3
MU2720,380.31858029,3,1,1
MU3378,380.13793103,4,2,2
MU10391,380.08849558,1,3,2
MU10389,380,3,3,3
MU10776,380,2,4,5
MU10785,380,2,4,4
MU10825,380,2,4,5
MU10857,380,2,4,5
